P,PET,Tmax,Tmin,R
1.29,0.6452,33.9722,17.6111,3.717
7.09,0.5749,34.0278,20.0111,3.706
6.01,0.6866,32.4056,20.2111,3.694
7.47,0.7941,31.7056,18.2889,3.683
2.34,0.9513,31.5111,18.5944,3.67
3.9,1.3442,32.1667,17.9556,3.658
17.21,0.8355,30.9111,18.3,3.645
5.54,1.096,29.5611,17.1167,3.632
0.08,1.5096,29.8778,17.3722,3.618
0.27,0.9719,31.7222,17.7056,3.604
0.29,0.7403,33.25,19.6389,3.59
3.21,0.6287,31.8167,19.05,3.575
1.84,0.5749,31.4278,20.1167,3.56
0.02,0.5749,29.4556,17.35,3.544
0.44,0.5418,28.1222,12.8167,3.528
1.89,0.5087,26.7556,16.1778,3.512
20.72,0.7486,31.6,19.2111,3.495
0.87,1.551,33.2167,20.0111,3.479
2.24,0.7941,34.1111,19.7889,3.461
1.53,0.6287,33.4389,19.5722,3.444
4,0.7197,32.2389,19.8,3.426
0.38,0.6121,32.4833,19.0111,3.408
6.73,0.6866,31.5,18.8222,3.389
13.79,0.7776,30.6778,19.4944,3.37
3.97,1.2201,30.9444,18.1778,3.351
2.28,1.3028,32.3389,18.4389,3.332
0.14,0.9513,30.9111,18.1333,3.312
0.07,0.7197,30.2222,16.5167,3.292
0,0.6452,30.1,17.0444,3.272
0.01,0.5749,31.4667,15.6444,3.251
1.65,0.5087,33.1111,16.5,3.23
2.09,0.4922,31.4611,18.3111,3.209
0.08,0.4756,29.0111,15.7333,3.188
0.01,0.4591,28.3222,13.0222,3.166
0.01,0.426,28.3722,13.8,3.145
0.07,0.426,30.2667,13.8833,3.122
7.43,0.426,26.9,17.5944,3.1
3.38,0.4922,25.9778,18.8444,3.078
0,0.5749,28.6944,16.7667,3.055
0,0.5253,30.5778,15.9222,3.032
0.2,0.4756,32.8,15.1056,3.009
0.73,0.4591,33.1944,16.4778,2.986
1.28,0.426,32.6,17.6722,2.962
0.14,0.4219,33.0889,17.7944,2.938
0.01,0.4074,30.3111,17.3056,2.914
6.16,0.395,26.9889,17.5722,2.89
6.97,0.4219,27.8333,17.6556,2.866
0.04,0.5087,27.1222,15.9111,2.842
0.01,0.5253,25.3833,8.2556,2.817
0,0.4591,26.5278,7.2556,2.793
0.37,0.4045,27.4611,9.9056,2.768
0.39,0.395,29.7611,14.6278,2.743
0.24,0.395,30.5056,15.95,2.718
3.95,0.3702,29.9667,17.5889,2.693
16.42,0.3888,26.1944,17.4333,2.668
2.9,0.4922,24.4833,14.0111,2.642
0.28,0.7031,25.7,12.1389,2.617
0.03,0.5418,23.4778,12.5444,2.591
0,0.4425,22.5333,12.6944,2.566
0,0.4425,25.8111,11.1056,2.54
0,0.426,27.2778,11.0167,2.515
0.19,0.4074,28.2611,11.0111,2.489
3.14,0.4012,26.4778,13.3889,2.463
0.48,0.3921,27.4722,15.7722,2.437
2.92,0.3921,26.7444,12.2056,2.411
1.26,0.4177,28.1222,15.7556,2.385
1.62,0.3826,26.1167,15.4333,2.36
4.23,0.3797,26.5833,16.85,2.334
0,0.4177,26.2056,11.9889,2.308
0,0.5087,22.3333,4.9611,2.282
0,0.4219,23.2167,4.9222,2.256
0,0.3731,27.8389,8.6389,2.23
0,0.3702,29.2667,11.7278,2.205
0.03,0.3826,29.7944,11.9556,2.179
0.04,0.364,30.4944,12.8278,2.153
0.09,0.3466,32.3944,13.05,2.127
0.34,0.335,32.5222,16.1722,2.102
4.1,0.3379,31.3444,13.9833,2.076
0,0.3321,23.0778,7.15,2.051
0.02,0.426,18.8389,3.6889,2.026
0.2,0.3797,17.8778,1.8778,2
0.15,0.3466,19.7333,3.9944,1.975
0,0.3553,20.2056,1.8167,1.95
0,0.3437,19.9944,1.6833,1.925
0,0.3495,20.8667,5.4222,1.901
0,0.3437,22.8056,8.1944,1.876
0,0.3524,23.2667,7.9611,1.851
0,0.3524,24.8389,9.2667,1.827
0,0.3524,25.1222,7.6444,1.803
0,0.3466,25.55,9.6278,1.779
0.14,0.3495,22.3722,8.9167,1.755
1.4,0.335,20.4722,10.6556,1.731
3.86,0.3495,20.6333,13.0556,1.708
0.5,0.364,22.2056,12.9889,1.684
8.94,0.3888,21.6278,12.2667,1.661
0.02,0.426,22.0611,4.6,1.638
0.05,0.4425,21.6333,1.7,1.615
1.61,0.4425,23.45,6.6833,1.593
4.45,0.426,22.4944,12.8,1.571
0.14,0.4177,19.0722,4.9222,1.548
3.01,0.426,16.8056,8.0389,1.527
12.01,0.426,18.1278,9.9778,1.505
23.57,0.5087,19.5,9.3944,1.484
12.88,1.4848,12,3.2889,1.463
1.11,1.2201,7.0667,-1.2389,1.442
0.01,0.8685,9.8278,-3.8944,1.421
0.13,0.6659,11.4833,-3.6111,1.401
10.02,0.5914,9.3778,-1.4833,1.381
10.51,0.5749,10.3722,0.8667,1.361
0,0.9761,7.3,-2.3833,1.342
0,0.9099,13.15,-6.0056,1.322
0,0.6866,17.2944,-3.9,1.304
0,0.6121,19.05,-1.1278,1.285
0.18,0.5749,15.9722,0.7778,1.267
2.46,0.5583,16.1167,6.5056,1.249
7.8,0.5418,19.65,9.7611,1.231
1.1,0.6121,17.8889,6.4833,1.214
5.03,0.6866,19.2778,8.2556,1.197
0.18,0.6452,11.9556,-1.05,1.181
0.04,0.6121,2.7389,-4.7389,1.164
0,0.5914,0.7889,-8.0889,1.148
0,0.5583,3.7,-9.0444,1.133
0,0.5418,8.8889,-8.8611,1.118
0,0.5253,14.8111,-4.2944,1.103
0.23,0.5253,18.3,1.5111,1.088
3.41,0.5253,17.0278,4.9278,1.074
3.05,0.5253,12.2278,1.1444,1.061
0.95,0.5583,14.8667,0.0611,1.047
0.08,0.5583,9.9222,-1.2667,1.034
0,0.5418,7.9,-4.6222,1.022
0,0.5253,12.9056,-4,1.009
0,0.5087,16.9333,-4.9833,0.998
0,0.5087,16.6056,-3.1444,0.986
0.1,0.5087,17.8222,-2.0722,0.975
4.41,0.5087,15.0222,0.5833,0.965
39.67,0.5418,14.6556,6.5389,0.955
4.22,3.1723,14.8278,1.1778,0.945
1.73,2.5146,16.0056,5.1611,0.935
0.55,1.2615,19.5,9.3722,0.926
0.1,0.9719,20.6111,14.1389,0.918
0.57,0.9099,19.6833,11.2167,0.91
0.01,0.7941,14.3667,1.8111,0.902
0,0.7197,9.6556,0.1444,0.895
0.64,0.6866,7.1,-2.2944,0.888
0.48,0.6452,7.8556,-2.9667,0.882
12.48,0.6287,5.8556,-3.4278,0.876
2.44,0.6287,9.2611,-5.4778,0.87
0.2,0.7776,-1.8833,-13.5,0.865
0,0.7197,1.6389,-13.0722,0.86
