P,PET,Tmax,Tmin,R
8.24,0.6742,28.9167,17.0389,2.768
3,0.6659,28.3667,15.8667,2.743
1.06,0.9719,29.7611,15.0333,2.718
1.25,0.7858,29.0667,16.65,2.693
0.77,0.7527,24.9722,14.3944,2.668
0.67,0.761,23.8167,15.2778,2.642
0.03,0.7072,28.65,14.8778,2.617
0.01,0.699,30.55,14.6556,2.591
0.28,0.6659,32.0944,15.75,2.566
0.04,0.6576,32.2889,17.2778,2.54
0,0.6121,29.7333,17.3389,2.515
0.47,0.6369,30.5389,17.9333,2.489
4.55,0.6493,31.0778,17.4889,2.463
11.04,0.699,25.1667,15.4722,2.437
1.01,0.7982,20.4,13.8278,2.411
0.02,0.7279,24.9,13.9889,2.385
0,0.67,23.4056,12.1389,2.36
0,0.6369,24.0056,9.3,2.334
0,0.6204,25.9833,9.8,2.308
0,0.6287,22.2722,9.15,2.282
0.65,0.608,19.9778,10.0278,2.256
8.95,0.7279,22.0611,11.4944,2.23
0.1,0.7486,23.9,8.0056,2.205
0.21,0.6535,23.8056,8.6333,2.179
0.75,0.6204,23.6667,11.4111,2.153
2.72,0.6287,22.1722,10.8167,2.127
0,0.6783,20.6833,8.6667,2.102
0.16,0.6245,16.4389,3.7722,2.076
0.07,0.6245,15.9444,1.2944,2.051
0,0.5956,17.1333,-1.0667,2.026
0,0.5873,21.5667,1.7389,2
0.1,0.5997,21.9389,2.3056,1.975
0.11,0.5832,25.6389,4.6556,1.95
7.46,0.5873,25.45,7.6722,1.925
1.02,0.6038,22.0444,10.2889,1.901
0.02,0.7031,15.8444,2.2778,1.876
0.13,0.6493,15.45,0.6722,1.851
0,0.5997,15.3778,0.6444,1.827
0,0.5997,18.5722,-1.2444,1.803
0.18,0.5997,20.5722,0.1056,1.779
0,0.5542,22.0222,4.3222,1.755
0,0.5666,23.4833,1.3944,1.731
0,0.5873,25.8389,3.0111,1.708
0,0.5873,26.6833,5.4778,1.684
0.3,0.5873,22.6944,6.5444,1.661
0.02,0.5708,21.1944,-0.4833,1.638
0.35,0.5749,23.55,6.2222,1.615
0.01,0.5832,22.6611,9.5333,1.593
0,0.5708,19.5278,8.0556,1.571
0,0.5666,20.5722,4,1.548
0,0.5956,19.0111,3.25,1.527
0,0.5749,20.9222,1.0889,1.505
0.04,0.5583,22.3167,2.1278,1.484
0,0.5956,22.0778,1.9611,1.463
0,0.5666,21.0444,0.6333,1.442
0,0.579,20.7056,3.0389,1.421
0,0.579,23.8444,1.7222,1.401
0.06,0.5666,24.1889,1.2889,1.381
4.95,0.5873,20.95,3.1889,1.361
1.96,0.6163,16.7778,6.9889,1.342
0.04,0.6411,16.6333,3.5778,1.322
0,0.6038,18.1278,2.9833,1.304
0,0.5956,20.9333,4.8,1.285
0,0.5873,21.6167,4.1444,1.267
0.01,0.5873,19.6889,4.2444,1.249
0.14,0.5832,19.6778,5.05,1.231
2.36,0.5832,20.4389,9.1333,1.214
7.23,0.5914,19.0333,10.4333,1.197
13.05,0.6535,15.4111,7.1556,1.181
1.35,0.7941,19.9167,7.55,1.164
0.1,0.7982,16.3167,2.5167,1.148
0.03,0.6948,13.7389,2.4278,1.133
0.01,0.6328,14.9,0.1556,1.118
0.47,0.608,13.6833,2.6167,1.103
10.89,0.5914,11.2667,5.2167,1.088
0.77,0.6866,16.5944,6.3667,1.074
0.08,0.7114,12.9611,-0.5167,1.061
1.07,0.6535,8.6611,-0.9333,1.047
11.52,0.6783,8.5667,1.9222,1.034
0.51,0.7403,14.6056,3.2444,1.022
14.83,0.7238,9.4,1.4167,1.009
0.01,0.823,9.8667,2.4944,0.998
0.01,0.8851,11.5833,-1.45,0.986
0.02,0.7445,14.2444,-2.3333,0.975
11.11,0.6742,14.3833,0.0833,0.965
26.57,0.8272,17.7556,6.3389,0.955
7.6,2.9241,15.0222,4.15,0.945
0,2.2748,16.8944,-1.7167,0.935
0.12,1.1994,15.8333,-2.4333,0.926
3.62,0.9264,20.7833,7.3556,0.918
27.55,1.4683,20.2333,5.4556,0.91
0.01,4.1318,5.9333,-7.1,0.902
0,1.7909,4.5778,-7.8278,0.895
0,1.1746,9.5056,-6.9944,0.888
0,0.9761,13.7889,-5.9278,0.882
0.11,0.8851,9.0944,-4.1389,0.876
0.16,0.8189,11.8722,-8.7444,0.87
2.37,0.7817,10.5333,-4.3889,0.865
0,0.7858,9.5333,-0.5722,0.86
0.07,0.7527,9.7778,-4.3944,0.856
3.47,0.7321,8.4056,0.8944,0.852
0.55,0.7321,12.8222,3.2278,0.849
3.68,0.761,14.7889,3.5944,0.846
0,0.7527,9.9278,-6.1944,0.844
0.08,0.7114,10.3444,-6.5944,0.842
19.77,0.7321,7.1111,-2.9111,0.84
0.41,1.1663,8.9389,-0.1,0.839
0,1.1663,12.7167,-4.4056,0.838
0,0.914,8.5611,-4.5889,0.838
0,0.8272,5.0778,-8.5556,0.838
0.01,0.7858,6.0389,-9.7944,0.839
5.24,0.7362,6.2222,-4.3222,0.84
5.92,0.7817,10.4778,1.0333,0.842
24.26,0.8396,16.5667,5.6222,0.84
27.38,3.9415,14.8444,0.1167,0.849
0.07,7.3206,-0.4722,-13.9944,0.852
0,2.1465,2.7444,-13.2167,0.856
0.86,1.3979,3.05,-7.8278,0.86
2.99,1.2077,4.4833,-2.7222,0.865
11.76,1.1787,9.8667,0.8333,0.87
3.15,1.5592,10.5167,-2.15,0.875
0.02,1.8984,3.0889,-11.9444,0.881
0,1.4683,6.0167,-10.2778,0.888
0.01,1.2366,5.1278,-7.3611,0.894
6.74,1.1002,2.1389,-5.6667,0.902
6.76,1.1994,4.3111,-2.3,0.909
0.47,1.5386,6.9889,-2.5111,0.917
0,1.3483,4.4889,-9.5056,0.926
0.03,1.125,9.0167,-7.4444,0.935
0.32,1.0381,13.9778,-1.5389,0.944
0.04,0.9802,11.4333,1.0333,0.954
6.04,0.9347,4.6778,-6.7722,0.964
45.98,1.2904,3.6111,-4.3222,0.974
6.91,7.1138,8.8722,-1.1889,0.985
0.16,7.7755,5.5722,-3.1389,0.997
1.14,2.8951,6.5556,-7.0611,1.008
13.23,2.7752,8.6833,-2.9278,1.021
0.09,2.5229,3.5056,-7.25,1.033
0.04,2.1755,5.8944,-6.5889,1.046
2.31,1.6006,7.6889,-5.3167,1.059
0.52,1.3773,5.2667,-3.3222,1.073
0.02,1.2532,3.6944,-4.6111,1.087
0.14,1.1622,6.3389,-6.8944,1.101
0.74,1.0919,5.0722,-4.5167,1.116
0.07,1.0464,0.8556,-8.9722,1.131
0.07,0.9802,5.7278,-11.4056,1.147
0.56,0.9223,5.5667,-8.3667,1.163
0.02,0.9471,7.8889,-2.4167,1.179
0.12,0.9347,3.8722,-5.6944,1.196
9.28,0.914,1.6389,-7.3944,1.212
12.14,0.9347,0.9611,-5.8389,1.23
0.05,0.9347,6.25,-8.8222,1.247
0.25,1.0133,3.1278,-6.8,1.265
0,0.9637,1.4722,-14.2278,1.283
0,0.8727,3.3278,-12.0278,1.302
0.56,0.852,5.8667,-8.9056,1.321
0.11,0.8603,5.8389,-5.7111,1.34
0.15,0.7776,6.4833,-4.2833,1.359
0.05,0.8727,15.6611,-0.1278,1.379
0.02,1.0133,15.9389,2.2389,1.399
0,1.1167,4.3167,-7.25,1.419
26.64,1.1374,-3.4,-13.0556,1.44
0.15,0.8934,5.9333,-12.5333,1.461
0.08,0.8975,9.6833,-12.3111,1.482
3.13,1.2201,9.8556,-2.4111,1.503
0.11,1.3028,16.6611,-0.2,1.525
9.12,2.3988,13.0222,3.8611,1.546
36.49,5.3767,9.4389,4.3944,1.569
32.07,11.9528,8.6944,4.6722,1.591
3.54,14.4757,6.6,-0.0333,1.613
0.21,9.6781,9.8389,-3.1444,1.636
0.03,4.7563,12.5944,-3.9833,1.659
0.22,3.9581,12.8667,0.0667,1.682
0.03,2.8579,18.5333,0.7667,1.705
4.88,1.948,17.4056,3.5667,1.729
33.6,1.7205,17.2111,7.0889,1.753
24.8,6.0798,20.4278,11.4667,1.777
0.27,11.7047,17.6556,5.05,1.801
0.87,4.4254,15.0111,-2.1,1.825
6.58,4.3427,12.3222,2.5611,1.849
0.11,4.1111,16.4278,-0.4111,1.874
5.57,2.8207,18.0056,2.2778,1.898
2.72,2.4609,12.0778,-1.2889,1.923
0,2.1383,14.7333,-2.9167,1.948
0.18,1.8446,19.2944,-2.5278,1.973
1.57,1.6668,17.5833,4.25,1.998
0.01,1.6213,10.5,-0.8944,2.023
0.02,1.4972,11.8167,-6.5222,2.049
0.01,1.4434,18.6833,-4.4,2.074
0,1.4103,21.65,-0.7111,2.1
0.01,1.369,23.4,2.4222,2.125
0.1,1.307,23.1444,7.8111,2.151
0.02,1.3028,23.0222,7.9,2.176
0.15,1.2987,21.75,2.8556,2.202
58.51,1.2739,18.1889,6.0056,2.228
8.84,4.5909,14.7167,6.6944,2.254
0.85,6.1625,9.1167,-0.2167,2.28
0.09,3.1971,10.9111,-2.8722,2.306
1.09,3.7513,11.2111,-1.6333,2.331
0,3.0813,16.5389,0.4333,2.357
0.03,2.4154,23.9722,5.9556,2.383
0.18,1.9067,24.3222,9.2611,2.409
0.02,1.6709,25.3722,11.6556,2.435
0.16,1.6047,25.8111,12.1222,2.461
0.91,1.5468,23.4833,13.6667,2.486
18.98,1.5468,18.7778,10.9278,2.512
15.13,2.1424,12.7111,7.4611,2.538
0.17,3.0192,16.5778,5.5167,2.564
0.21,2.4278,17.2333,2.1444,2.589
0,2.1217,18.9167,-0.6056,2.615
0.35,1.7495,23.9667,3.1444,2.64
5.37,1.6337,20.1944,7.9444,2.665
0.08,1.613,17.0278,1.8556,2.691
0.09,1.5386,20.3,3.7889,2.716
6.59,1.4641,21.0556,9.9833,2.741
28.32,2.1259,19.45,12.2944,2.766
0.47,4.5909,19.2611,6.9278,2.79
0.01,2.6801,20.2056,4.7,2.815
0,2.3409,18.9167,4.9,2.84
0,1.9191,18.8111,2.5889,2.864
0,1.6502,20.4333,1.4444,2.888
0.01,1.5634,22.9222,1.6444,2.912
0.02,1.4641,23.5556,2.9611,2.936
0,1.4393,25.9,4.1778,2.96
0.38,1.4186,26.8444,9.3222,2.983
1.09,1.369,24.8444,11.7,3.007
0.37,1.3566,24.6111,13.5,3.03
7.91,1.3607,22.1722,10.7889,3.053
41.86,1.4558,21.8722,13.0167,3.076
1.1,4.26,21.4833,12,3.098
0.3,4.1194,19.0056,5.7333,3.12
0.18,2.6553,18.4556,0.9389,3.143
0.21,2.101,21.9,1.8722,3.164
0.01,1.7288,23.6278,4.1333,3.186
0.06,1.5841,24.8556,5.3778,3.207
2.61,1.4972,23.2611,10.7278,3.228
6.11,1.4931,26.2389,13.0778,3.249
0.08,1.5468,23.4111,11.3056,3.27
0.08,1.5634,22.7,10.2333,3.29
0.02,1.4352,25.7111,11.3833,3.31
0.21,1.3731,27.0111,14.1722,3.33
4.27,1.3359,25.45,16.8611,3.349
5.04,1.3731,27.5833,17.2333,3.369
11.24,1.4807,29.7556,16.1944,3.387
17.37,2.2086,28.1389,14.6611,3.406
14.22,3.8423,26.0056,15.7389,3.424
2.91,3.7637,23.1667,12.1611,3.442
2.21,2.3906,25.4944,8.35,3.46
0.02,1.7702,24.7111,9.1444,3.477
0,1.5096,23.3389,5.9111,3.494
0,1.3938,24.2778,5.0944,3.511
0.29,1.2987,24.8,7.6833,3.527
1.42,1.307,24.9722,10.9611,3.543
2.72,1.2408,23.6111,13.8167,3.558
8.41,1.2656,23.5722,14.4056,3.573
11.04,1.3566,25.0889,15.7944,3.588
18.44,1.7371,22.9056,15.7667,3.603
0.43,2.4485,19.8222,8.1222,3.617
0.11,2.1341,18.45,5.1778,3.63
3.35,1.6668,21.3167,4.7944,3.644
1.51,1.4186,24.2722,10.7056,3.657
0.07,1.4476,26.1667,12.0611,3.669
1.08,1.3566,27.0333,9.5333,3.682
10.75,1.2821,25.7167,16.1111,3.693
0.09,1.4765,27.8944,17.5111,3.705
1.45,1.5386,29.5889,16.6389,3.716
17.18,1.3814,26.9444,18.0056,3.726
0.09,2.7256,25.6167,15.3056,3.736
0.01,2.4898,26.7722,12.6,3.746
0.07,1.8239,27.8111,13.8389,3.756
2.02,1.5096,26.6278,15.4722,3.765
2.97,1.4062,27.4111,18.1833,3.773
2.37,1.3938,29.1278,17.4556,3.781
6.17,1.3897,29.4444,18.4833,3.789
1.68,1.5634,26.2889,14.0278,3.796
0,1.3524,26.1222,8.3611,3.803
0,1.249,26.9944,8.3389,3.809
0,1.1167,26.3833,11.1944,3.815
0.31,1.1043,26.2222,9.2389,3.821
55.5,1.2904,23.1833,12.4333,3.826
7.5,7.3619,21.7,11.5444,3.831
0.48,5.0458,30.4,14.6,3.835
3.68,2.1796,28.9222,17.2556,3.839
0.02,1.8529,25.1389,16.0889,3.842
4.26,1.5758,23.0833,15.4,3.845
5.7,1.4021,29.3556,15.65,3.847
3.46,1.5468,29.9222,15.4278,3.849
4.75,1.4269,26.8556,16.8,3.851
0.03,1.2945,23.7444,12.0556,3.852
0,1.3152,23.8222,8.2889,3.853
0,1.1663,25.5333,9.3889,3.853
0.01,1.0877,27.8611,11.0389,3.853
0.76,1.0877,27.2389,14.15,3.852
1.56,1.0919,27.8667,16.0889,3.851
0.25,1.0877,27.7556,12.8111,3.849
0,1.0505,28.9944,14.2222,3.847
0.1,0.9926,30.5444,12.4333,3.845
4.99,0.9595,29.7,16.5278,3.842
0.78,0.9595,27.4389,14.5556,3.839
0.11,0.9843,25.0611,10.5944,3.835
0.7,0.9223,22.4278,12.7889,3.831
0.19,0.9264,25.4056,12.2056,3.826
3.1,0.9389,24.0722,14.6056,3.821
11.06,0.9554,23.9833,15.3889,3.816
0.17,1.0919,27.6,15.3333,3.81
5.49,1.1208,29.1056,18.1611,3.803
1.05,1.096,31.0278,19.7056,3.797
0.33,1.0753,30.8056,18.2778,3.789
0.71,1.0547,30.8611,19.3333,3.782
5.02,0.9513,31.3722,19.3333,3.774
7.3,1.1043,31.9,18.3444,3.765
9.45,0.9264,31.2,18.3444,3.756
3.5,1.1663,29.3,18.6611,3.747
48.54,2.0307,26.1833,19.1,3.737
11.39,4.9631,24.8333,18.5111,3.727
3.67,3.1061,25.4278,18.1167,3.717
1.06,2.4319,29.1333,17.9889,3.706
3.57,2.2169,29.4667,18.7944,3.694
3.35,1.9439,28.4333,19.2667,3.683
2.44,1.7371,27.5889,19.9611,3.67
5.78,1.6089,29.5667,18.9556,3.658
0.4,1.4393,30.7722,19.2722,3.645
0.2,1.3566,29.5,19.8444,3.632
0.18,1.2325,30.35,17.4722,3.618
5.2,1.1126,31.8722,17.3,3.604
1.73,1.0836,32.25,18.7889,3.59
4.37,1.1746,31.9,19.4722,3.575
0.07,1.5882,30.9222,17.6667,3.56
0,1.1498,30.6278,16.1833,3.544
0,0.9678,30.7556,16.5389,3.528
0,0.9471,31.6111,17.5444,3.512
0,0.9182,32.5333,19,3.495
0,0.8934,33.5111,19.1056,3.479
0.01,0.8644,34.3889,18.6778,3.461
0.23,0.8355,33.9,19.4222,3.444
7.39,0.8189,32.3333,19.0944,3.426
12.08,0.8975,25.5333,16.2222,3.408
0.07,1.1002,26.0611,10.3222,3.389
0,1.0298,28.1833,11.8611,3.37
0,0.8768,27.45,14.5889,3.351
0,0.7982,25.5667,8.4389,3.332
0,0.7734,26,8.5722,3.312
0.03,0.7321,29.1833,12.0611,3.292
1.34,0.7403,31.3389,16.6389,3.272
0.41,0.7362,31.8222,17.6778,3.251
3.65,0.7072,31.4722,17.4556,3.23
2.82,0.7114,25.6833,17.85,3.209
4.53,0.852,26.5667,18.15,3.188
5.47,0.8892,27.8889,18.3111,3.166
3.05,0.9719,29.2,18.5778,3.145
1.12,0.9471,29.9833,18.1722,3.122
4.96,0.9761,29.9111,18.6111,3.1
2.8,0.8396,29.8778,17.7167,3.078
0.82,0.9554,30.2167,18.75,3.055
1.66,0.8892,31,17.2056,3.032
1.58,0.8024,30.0944,16.5778,3.009
10.94,0.7445,28.8111,17.5778,2.986
7,0.7486,29.0667,18.6611,2.962
7.6,1.2036,29.3556,18.6111,2.938
8.14,1.4641,26.9556,18.6222,2.914
65.98,1.9852,24.5111,18.9111,2.89
0.31,4.7563,29.9833,18.6889,2.866
0.05,2.4154,29.7167,17.3556,2.842
0,2.3864,26.7833,13.3167,2.817
0,1.613,23.3611,10.3722,2.793
0,1.0877,24.4444,9.0333,2.768
0.01,0.9802,27.6944,8.8111,2.743
1.15,0.9223,27.0556,11.35,2.718
21.42,0.8892,24.6389,16.2889,2.693
3.44,0.9016,26.2278,18.6389,2.668
0.02,1.307,24.4667,11.8944,2.642
0,1.2284,22.25,10.9389,2.617
0,0.9678,23.6611,9.65,2.591
0.03,0.8975,26.3722,10.7667,2.566
0,0.881,27.0111,13.2056,2.54
9.02,0.8313,23.1778,10.9278,2.515
87.63,0.8561,23.1444,14.0944,2.489
21.65,6.7002,26.65,17.4111,2.463
0.47,21.0518,22.5222,13.7667,2.437
2.06,14.4757,16.6722,10.6444,2.411
0.11,3.2343,19.9278,11.8611,2.385
1.2,3.772,21.4444,13.0222,2.36
15.06,3.59,21.4278,13.4611,2.334
13.37,2.6635,21.1389,14.5389,2.308
3.55,2.7959,24.2,16.7167,2.282
13.11,3.4039,24.8556,16.6222,2.256
3.03,3.9539,26.1111,14.8556,2.23
11.91,2.92,23.5778,11.5333,2.205
0.08,4.1773,21.7833,8.5833,2.179
9.94,2.5684,21.55,7.0389,2.153
5.86,3.3253,18.1278,7.8722,2.127
0.25,2.6718,18.85,2.0333,2.102
0,2.0307,19.05,4.9,2.076
0.03,1.7412,21.9167,2.4833,2.051
0.46,1.5841,25.3,8.3667,2.026
20.47,1.5758,19.6333,4.8556,2
0.34,2.0597,12.2889,3.2722,1.975
0.89,1.6999,22.2056,2.7222,1.95
1.7,1.5055,19.0111,6.5556,1.925
0.01,1.4558,14.6667,-1.0056,1.901
0,1.3649,18.6333,-1.6778,1.876
0,1.2863,22.3,2.5444,1.851
0,1.2532,23.35,3.6278,1.827
0,1.2532,24.1778,5.3222,1.803
0,1.2449,23.3167,7.7444,1.779
0.08,1.216,25.1889,11.45,1.755
0.01,1.2036,26.8,12.9944,1.731
0.05,1.1911,26.1056,11.0833,1.708
9.72,1.1829,23.1111,11.9667,1.684
0,1.278,17.9,2.8444,1.661
0,1.2863,16.3667,0.1333,1.638
0,1.1994,15.6944,-0.2222,1.615
0.01,1.1415,16.5389,-2.8,1.593
0.19,1.1167,21.5889,0.8889,1.571
1.51,1.1208,19.4,7.8778,1.548
1.62,1.1208,17.4556,9.5667,1.527
0.44,1.1291,16.6611,9.5611,1.505
5.8,1.125,19.2944,8.0944,1.484
37.24,1.1911,19.1722,11.9556,1.463
0.66,3.499,16.0611,5.9056,1.442
0.01,2.5188,15.05,-1.7556,1.421
0.01,2.6429,14.9944,-2.4278,1.401
0,2.0886,16.7667,-1.9611,1.381
0,1.5841,14.8333,1.4722,1.361
0.4,1.46,15.1444,-1.4167,1.342
3.31,1.3318,17.0333,3.6167,1.322
22.95,1.4145,17.3722,9.9833,1.304
17.44,2.5684,14.9389,8.8333,1.285
0.21,2.9903,10.4,6.4556,1.267
0.46,2.6429,13.4056,5.4278,1.249
0.01,2.1962,10.2056,0.4056,1.231
0.01,1.7826,11.7944,-4.4889,1.214
0,1.6006,14.9167,0.2611,1.197
0,1.5344,18.9333,-1.4833,1.181
0,1.3731,21.6,0.8889,1.164
0,1.4145,21.4333,0.4722,1.148
0,1.369,22.9944,2.2167,1.133
0,1.3028,22.1,3.3389,1.118
0.01,1.2863,21.2944,4.0889,1.103
2.33,1.2656,20.1611,8.4556,1.088
6.44,1.2821,20.0167,13.4556,1.074
12.16,1.3276,19.9833,12.9722,1.061
20.62,2.1838,18.7389,9.8389,1.047
0.16,3.3294,18.8944,1.2889,1.034
0.08,2.403,15.6944,3.1722,1.022
0.08,1.9563,8.1167,-3.7889,1.009
0.02,1.6254,4.9222,-8.4722,0.998
0.17,1.5055,8.55,-8.1278,0.986
0,1.3524,5.4111,-6.6667,0.975
0,1.4062,6.9389,-10.6389,0.965
0,1.3194,12.5167,-7.8167,0.955
0.06,1.2656,14.8722,-5.7111,0.945
4.38,1.278,11.6111,0.1778,0.935
0.06,1.3359,13.4278,0.3611,0.926
0.02,1.2904,11.8,0.2778,0.918
0,1.2325,9.6944,-6.1056,0.91
0,1.1746,15.9389,-4.4389,0.902
0,1.1705,18.3167,-3.0333,0.895
0.4,1.1415,20.0056,1.1056,0.888
5.55,1.187,17.1222,8.0167,0.882
0,1.278,13.4056,0.95,0.876
0.24,1.1911,7.4889,-6.2333,0.87
0.43,1.1539,9.7667,-1.7444,0.865
0,1.1581,7.3111,-5.4,0.86
0,1.1167,6.9333,-8.1333,0.856
0,1.0877,12.4389,-5.6389,0.852
0,1.0712,9.4167,-4.9889,0.849
0.01,1.0588,7.6222,-2.7333,0.846
0.03,1.0547,9.8056,-1.5667,0.844
0.14,1.0505,15.1722,3.3389,0.842
18.56,1.0671,16.4444,6.0667,0.84
1.09,1.1953,13.5,2.7556,0.839
0.1,1.4352,10.7278,0.2722,0.838
0,1.3152,13.9889,-2.6778,0.838
0.03,1.2449,12.6111,-3.9722,0.838
0.04,1.1581,13.6056,-4.4278,0.839
0.58,1.0753,10.4278,-1.4778,0.84
0.04,1.0877,9.8833,-2.0111,0.842
0.02,1.1002,8.3389,0.4944,0.84
0,1.0423,9.6667,-3.0611,0.849
0.03,1.0423,9.6444,-3.4722,0.852
4.86,1.0257,5.5278,-2.0611,0.856
0.97,1.0588,2.8611,-3.2556,0.86
0.06,1.0588,4.8,-6.7444,0.865
0.82,1.0298,4.9056,-4.75,0.87
0.56,1.0216,6.9,-0.5,0.875
0.1,1.0092,8.1889,0.6778,0.881
0.25,0.9926,7.0889,-3.8389,0.888
17.74,1.0795,8.3444,-0.0278,0.894
2.52,1.6957,9.2722,-0.5556,0.902
10.06,1.5592,4.3056,-2.0611,0.909
20.7,3.2881,9.9889,-1.1,0.917
0.01,5.0458,15.75,1.2667,0.926
0.03,2.5477,13.3278,0.3389,0.935
5.99,2.0514,10.4389,3.8222,0.944
22.41,2.7504,10.4722,5.6722,0.954
0.09,5.3353,14.6389,-1.0111,0.964
0.04,2.7421,14.3944,-0.25,0.974
0.08,2.1714,12.1333,-1.5611,0.985
9.22,1.7123,9.9444,2.3444,0.997
0.59,1.7578,7.8333,0.0889,1.008
0,1.7247,9.0611,-6.4556,1.021
0.04,1.4765,12.7722,0.0944,1.033
0.01,1.3649,11.4,2.3889,1.046
0.23,1.3318,8.3722,1.1778,1.059
0.05,1.3028,10.1444,-0.7056,1.073
0,1.2532,7.3278,-0.3333,1.087
3.51,1.1994,1.85,-5.6667,1.101
4.76,1.1994,-0.4889,-6.3389,1.116
0.01,1.2077,-2.8,-11.2222,1.131
0,1.1332,-1.85,-12.1667,1.147
0,1.0795,1.1611,-11.7833,1.163
0.01,1.1043,0.2056,-9.5444,1.179
0.12,1.096,3.9833,-12.1111,1.196
4.34,1.0877,2.2889,-5.8833,1.212
0.26,1.1208,3.2611,-5.0444,1.23
0.15,1.1126,4.3389,-9.1722,1.247
9.17,1.1167,2.7722,-3.8333,1.265
1.45,1.1622,3.6167,-4.2833,1.283
0.01,1.1663,6.2667,-11.2389,1.302
0,1.1415,5.4111,-6.3389,1.321
0.3,1.1126,6.4,-9.9056,1.34
0,1.0836,12.7389,-8.0389,1.359
0.03,1.0836,15.9389,-3.4167,1.379
1.07,1.1415,13.2111,0.5056,1.399
0,1.1622,3.2111,-8.65,1.419
0.01,1.1291,6.7389,-11.5778,1.44
0.02,1.0753,11.0333,-7.8944,1.461
4.89,1.0547,11.2556,-2.3111,1.482
0.18,1.1167,18.4444,0.6611,1.503
1.05,1.1291,21.4333,7.8722,1.525
0.83,1.1043,22.6167,6.1167,1.546
0.07,1.0753,19.9278,3.6,1.569
2.35,1.0505,15.0833,1.9222,1.591
0.38,1.0671,6.6056,-6.0056,1.613
0.02,1.0216,9.4889,-7.0667,1.636
0.04,1.0009,16.4722,-3.1611,1.659
0.08,0.9843,13.5889,-3.0889,1.682
11.39,0.9719,2.7889,-9.2222,1.705
2.59,0.9843,-4.7167,-11.2444,1.729
0.22,1.0092,5.3667,-13.8944,1.753
0.6,1.0257,10.4,-8.7278,1.777
6.34,1.1663,10.0444,0.2111,1.801
0.02,1.3773,13.9278,-0.05,1.825
0.68,1.3524,14.3833,0.7611,1.849
14.13,1.46,18.8056,7.8833,1.874
0.03,2.068,17.7056,5.5167,1.898
0.06,1.7454,18.4556,-0.0167,1.923
0.15,1.5013,15.8611,1.3278,1.948
0.33,1.3152,7.8444,-2.2833,1.973
8.73,1.1953,5.1944,-2.3722,1.998
0.28,1.2739,9.2778,-1.1111,2.023
0.03,1.278,16.9944,-4.2056,2.049
0.36,1.1787,18.9111,-1.7,2.074
33.4,1.1953,16.5722,7.15,2.1
1.01,3.6437,14.2111,2.9778,2.125
0.26,3.1019,15.2333,-3.4,2.151
30.43,2.7711,13.9833,5.3556,2.176
19.6,7.1965,15.0778,6.2,2.202
0,9.6781,15.0611,0.6667,2.228
0.57,4.1773,16.9444,-1.85,2.254
23.92,3.3956,14.1833,3.6611,2.28
0.17,4.5495,15.5444,5.0333,2.306
0,3.0234,13.3833,1.7111,2.331
0.06,2.3575,15.1333,1.4444,2.357
18.41,2.0101,13.1389,4.2833,2.383
0.41,2.3203,19.3389,4.8833,2.409
4.38,2.283,17.0722,8.0944,2.435
0.75,2.0886,16.4222,8.9722,2.461
0.18,2.2748,18.7889,3.1667,2.486
0.02,2.0804,22.4444,3.2667,2.512
1.22,1.7123,22.6389,5.6556,2.538
3.5,1.6254,23.0667,11.2778,2.564
0.03,1.5799,18.0056,3.25,2.589
0.1,1.4765,18.55,-0.5556,2.615
3.41,1.4186,16.8722,5.2111,2.64
45.67,1.4228,18.2,10.1722,2.665
10.21,6.2866,21.5389,8.4222,2.691
0.02,13.0282,21.0556,5.2556,2.716
1.53,6.5348,23.7278,2.8167,2.741
17.39,4.3014,20.6389,9.2167,2.766
16.21,4.4254,16.5111,10.3778,2.79
27.05,5.0458,20.1889,11.8944,2.815
0.7,9.4299,14.8111,2.9056,2.84
0.09,5.5421,14.8556,2.3056,2.864
0,4.5495,17.9556,-1.6722,2.888
0,4.2186,22.2944,3.3889,2.912
0,3.8836,23.5889,3.4333,2.936
0.01,3.0647,24.6556,5.1889,2.96
0,2.5022,24.7778,7.0111,2.983
0,2.101,26.8389,4.7167,3.007
0.16,2.0183,30.9278,11.1444,3.03
2.99,1.8984,30.0056,10.6667,3.053
0.54,1.9315,27.05,11.6167,3.076
4.48,1.8777,22.0611,10.4667,3.098
5.01,1.8115,20.6111,9.1444,3.12
0.63,1.8405,19.2722,6.9,3.143
6.45,1.766,16.4389,3.7833,3.164
0.54,1.795,14.4,4.0278,3.186
0.18,1.7412,19.7667,4.1,3.207
0.02,1.6254,21.8111,5.7833,3.228
0,1.5551,23.8722,7.7889,3.249
0,1.5551,26.5944,6.7722,3.27
0.16,1.5137,28.0278,7.4556,3.29
0.66,1.4765,27.7556,10.2556,3.31
0.32,1.4393,27.8222,9.6778,3.33
0.14,1.4103,22.5167,10.5278,3.349
0.03,1.3938,18.5444,2.15,3.369
0,1.3649,22.05,1.15,3.387
0,1.3359,27.4111,8.6611,3.406
0,1.3276,30.4333,12.3389,3.424
1.39,1.3028,29.4278,16.4222,3.442
0.79,1.3028,28.25,14.5778,3.46
0.03,1.3566,23.7333,10.2722,3.477
0.02,1.2821,22.7056,8.6833,3.494
25.3,1.2408,21.2333,11.7167,3.511
11.1,1.6957,25.9444,12.2,3.527
7.92,2.3244,27.5278,12.95,3.543
26.57,2.2334,24.0222,14.6944,3.558
